Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD
28-07-2015,Pepperfry,Online home d\\xc3\\xa9cor marketplace,UnDisclosed,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,100000000
28-07-2015,Flipkart.com,Online Marketplace,UnDisclosed,Bangalore,Steadview Capital and existing investors,Private Equity,700000000
28-07-2015,Opinio,Hyperlocal food & grocery store,UnDisclosed,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,1300000
28-07-2015,Zoctr,Health-Tech platform,UnDisclosed,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,1000000
29-07-2015,Zimmber,Hyperlocal Handyman Services,UnDisclosed,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures, Mohandas Pai",Private Equity,2000000
29-07-2015,trueHb,Medical Tech Instruments,UnDisclosed,Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,2400000
29-07-2015,Zovi.com / Little App,Hyperlocal Deals Marketplace,UnDisclosed,Bangalore,"Paytm, SAIF Partners, Tiger Global Management & others",Private Equity,50000000
29-07-2015,Swajal,Innovative Water Solutions,UnDisclosed,Gurugram,Abhishek Gupta,Private Equity,1200000
30-07-2015,Pipa Bella,Online Jewelry Store,UnDisclosed,Mumbai,LionRock Capital,Private Equity,600000
30-07-2015,Pragmatix,Business intelligence & Analytics,UnDisclosed,Mumbai,SIDBI Venture Capital Ltd,Private Equity,2400000
30-07-2015,Droom.in,Used Vehicle Marketplace,UnDisclosed,Delhi,"Lightbox Ventures, Beenos",Private Equity,16000000
30-07-2015,MadRat Games,Educational Board Games,UnDisclosed,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,168000
30-07-2015,Noodle Play,Chinese food delivery,UnDisclosed,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,168000
30-07-2015,Wassup,On-Demand Laundry & Dry cleaning App,UnDisclosed,Chennai,B S Nagesh,Private Equity,0
30-07-2015,Cartisan,On-Demand Car services App,UnDisclosed,Bangalore,"YouWeCan Ventures, Aprameya Radhakrishna",Seed Funding,0
31-07-2015,LazyLad,Hyperlocal Grocery App,UnDisclosed,Gurugram,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,500000
31-07-2015,TripFactory,Online Curated Holiday package bookings,UnDisclosed,Bangalore,"Aarin Capital Partners,",Private Equity,0
31-07-2015,Prothom,Hasbro Toy Manufacturer,UnDisclosed,Pune,Oliphabs Capital,Private Equity,2000000
31-07-2015,Bona Vita,Travel Tech,UnDisclosed,Gurugram,MakeMyTrip,Private Equity,5000000
01-06-2015,Vyomo,Beauty and Wellness Platform,UnDisclosed,Delhi,Aprameya Radhakrishna,Seed Funding,0
01-06-2015,Veeba Foods,Healthy Food Manufacturer,UnDisclosed,Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,6000000
01-06-2015,Truebil,Used Car Marketplace,UnDisclosed,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,500000
01-06-2015,Meritnation,Online Learning Platform,UnDisclosed,Delhi,InfoEdge,Private Equity,4000000
01-06-2015,Eattreatonline,Healthy Food Online Community,UnDisclosed,Delhi,Group of 15 Angel Investors,Seed Funding,350000
01-06-2015,CredR,Used two-wheeler Marketplace,UnDisclosed,Mumbai,GrowthStory,Seed Funding,0
01-06-2015,Glamrs,Online Fashion Video Portal,UnDisclosed,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,1000000
01-06-2015,Proviera,Probiotic Technology Products Manufacturer,UnDisclosed,Chennai,Infuse Ventures,Private Equity,550000
01-06-2015,Arth DesignBuild,Architectural Design & Consulting,UnDisclosed,Hyderabad,Srinivas Tirupati,Seed Funding,500000
02-06-2015,Saama,Big Data & Analytics Services,UnDisclosed,Pune / US,Carrick Capital Partners,Private Equity,35000000
02-06-2015,AllIzHealth,Preventive Healthcare Services,UnDisclosed,Pune,Mumbai Angels & Other angel investors,Seed Funding,350000
02-06-2015,Karma Healthcare,Tech-enabled Rural Healthcare Services,UnDisclosed,Udaipur,Ennovent Impact Investment Holding,Private Equity,0
03-06-2015,Entropy Innovations,Engineering Innovations,UnDisclosed,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,0
03-06-2015,Propstack,Real Estate Intelligence Platform,UnDisclosed,Mumbai,DMG Information,Private Equity,3000000
03-06-2015,MyTaxiIndia,Online Car Rental Affiliates,UnDisclosed,Delhi,Green House Ventures,Seed Funding,100000
03-06-2015,Arkin Net,Data Center Software platform,UnDisclosed,Pune / US,Nexus Venture Partners,Private Equity,15000000
03-06-2015,Little Black Book Delhi,Online City & Lifestyle Guide,UnDisclosed,Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,150000
03-06-2015,MyPoolin,P2P Payments platform,UnDisclosed,Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra, Arjun Malhotra, Gautam Gandhi",Seed Funding,0
03-06-2015,iCustomadeit,Bespoke Merchandize Marketplace,UnDisclosed,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,250000
03-06-2015,KAARYAH,Women Lifestyle Marketplace,UnDisclosed,Gurugram,Ratan Tata,Seed Funding,0
04-06-2015,Ecom Express,Logistics Solution Provider,UnDisclosed,Delhi,Warburg Pincus,Private Equity,137000000
04-06-2015,Vidooly,Video Intelligence Platform,UnDisclosed,Noida,Bessemer Venture Partners,Private Equity,1000000
04-06-2015,Zopper,Hyperlocal Shopping App,UnDisclosed,Mumbai,"Tiger Global, Nirvana Ventures Advisors",Private Equity,20000000
04-06-2015,Flipkart,eCommerce platform,UnDisclosed,Bangalore,Morgan Stanley,Private Equity,50000000
05-06-2015,kWatt Solutions,Renewable energy solutions,UnDisclosed,Mumbai,nan,Seed Funding,500000
05-06-2015,Medwell Ventures,Healthcare\\nService provider,UnDisclosed,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,10000000
05-06-2015,Jugnoo,Auto Rickshaw Based Services,UnDisclosed,Chandigarh,"Snow Leopard, Paytm",Private Equity,5000000
08-06-2015,PosterGully,Artist / Designer Marketplace,UnDisclosed,Delhi,"Natarajan Iyer,Rajesh Sawhney, & other Angel investors.",Seed Funding,0
08-06-2015,Applied Solar Technologies,Off-grid Solar Power,UnDisclosed,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,40000000
09-06-2015,Clovia,Private Label lingerie Ecommerce,UnDisclosed,Delhi,IvyCap Ventures,Private Equity,5000000
09-06-2015,Swiggy,Online Food Ordering,UnDisclosed,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,16500000
09-06-2015,PayMango,Mobile Commerce Platform,UnDisclosed,Gurugram,Group of Angel Investors,Seed Funding,234000
09-06-2015,Printland,Online Printing Services,UnDisclosed,Delhi,SIDBI Venture Capital Ltd,Private Equity,0
09-06-2015,Teritree,Digital Marketing Services,UnDisclosed,Bangalore,KCL,Seed Funding,140000
10-06-2015,Guiddoo,Travel Guide Mobile App,UnDisclosed,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,0
10-06-2015,Voonik,Fashion Ecommerce store,UnDisclosed,Bangalore,"Sequoia Capital, Seedfund",Private Equity,5000000
11-06-2015,AdStringO,Mobile Compression Software,UnDisclosed,Mumbai,"Arihant Patni, Vishal Khare, Viswanath Ramachandran",Seed Funding,350000
11-06-2015,Faircent.com,Peer to Peer Lending platform,UnDisclosed,Gurugram,M&S Partners Pte. Ltd,Seed Funding,250000
12-06-2015,La Renon,Global Healthcare products,UnDisclosed,Ahmedabad,Sequoia Capital,Private Equity,16000000
15-06-2015,Homelane,Home Furnishing Solutions,UnDisclosed,Bangalore,Sequoia Capital,Private Equity,50000000
15-06-2015,iSTAR,Skill Training & Placement Platform,UnDisclosed,Bangalore,Unitus Seed Fund,Private Equity,0
15-06-2015,Shippr,Intra-City Logistics service,UnDisclosed,Bangalore,i2india Pvt Ltd,Seed Funding,500000
16-06-2015,FoodAbhi,online tiffin service aggregator,UnDisclosed,Mumbai,Group of angel investors,Seed Funding,0
16-06-2015,Karma Recycling,Electronic Goods recycling service,UnDisclosed,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,0
16-06-2015,CouponRaja,Online Coupon & comparison platform,UnDisclosed,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,500000
17-06-2015,Babychakra,Parents & Kids Online platform,UnDisclosed,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,0
17-06-2015,Jiffstore,Online Grocery platform,UnDisclosed,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,0
17-06-2015,MyDentist,Dental Clinic chain,UnDisclosed,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,8200000
18-06-2015,Moovo,On-Demand Logistics Service,UnDisclosed,Delhi,YouWeCan Ventures,Seed Funding,0
18-06-2015,Fracktal Works,3D Printer Manufacturer,UnDisclosed,Bangalore,Neoteric Infomatique Limited,Private Equity,3000000
18-06-2015,Hansa Customer Equity,IT / Customer Engagement Consulting,UnDisclosed,Mumbai,ASK Pravi,Private Equity,5000000
18-06-2015,HealthifyMe,Health & Fitness App,UnDisclosed,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,0
18-06-2015,CAKART.in,Online Education Marketplace,UnDisclosed,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,0
19-06-2015,Housejoy,Home services marketplace,UnDisclosed,Bangalore,Matrix Partners,Private Equity,4000000
19-06-2015,FundsIndia.com,Financial Services Platform,UnDisclosed,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,11000000
20-06-2015,Cupick,Social Network for Artists,UnDisclosed,Bangalore,Group of Angel Investors from US/India,Seed Funding,120000
20-06-2015,Tracxn,Startup funding platform,UnDisclosed,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,10000000
21-06-2015,Holachef,Food Delivery Platform,UnDisclosed,Mumbai,"Kalaari Capital, India Quotient",Private Equity,3100000
22-06-2015,elong,Data Driven recruitment recommendation,UnDisclosed,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,5000000
22-06-2015,Ixigo,Travel Search Engine,UnDisclosed,Gurugram,Micromax Informatics,Private Equity,0
22-06-2015,SkillAngels,Brain Games Platform,UnDisclosed,Chennai,Sprout Angels LLP,Seed Funding,0
22-06-2015,Vidgyor,Video Advertisement Platform,UnDisclosed,Bangalore,AngelPrime,Seed Funding,500000
22-06-2015,Banihal,Algorithmic Match Making Platform,UnDisclosed,Delhi / California,Dr David Cheriton,Seed Funding,0
23-06-2015,Goodservice,Mobile Chat based concierge service,UnDisclosed,Delhi,Sequoia Capital,Private Equity,1600000
23-06-2015,Treebo,Online Budget Hotel Booking Service,UnDisclosed,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,6000000
23-06-2015,EduKart,Online education marketplace,UnDisclosed,Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,1000000
23-06-2015,Healthians.com,Preventive healthcare services,UnDisclosed,Hyderabad,YouWeCan Ventures,Seed Funding,0
24-06-2015,LabInApp,Science Learning App,UnDisclosed,Bangalore,Unitus Seed Fund,Seed Funding,0
24-06-2015,Syona Cosmetics,Beauty and Wellness platform,UnDisclosed,Chennai,Chennai Angels,Seed Funding,0
24-06-2015,Sigrid Education,Online Education Platform,UnDisclosed,Noida,Oliphans Capital,Seed Funding,0
24-06-2015,Indix,SaaS product intelligence platform,UnDisclosed,India,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,15000000
24-06-2015,The Porter,Logistics Tech,UnDisclosed,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,5500000
24-06-2015,Retention.ai,App Analytics platform,UnDisclosed,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,500000
25-06-2015,Fusion Microfinance,Micro Finance Platform,UnDisclosed,Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,8600000
25-06-2015,Zinka,Freight logistics platform,UnDisclosed,Bangalore,"Accel Partners, Flipkart",Private Equity,6000000
26-06-2015,CreditMantri,Credit Management Services,UnDisclosed,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,2500000
26-06-2015,GetMyPeon,Hyperlocal Handyman Services,UnDisclosed,Mumbai,Undisclosed investors,Seed Funding,250000
29-06-2015,UrbanClap,Hyperlocal services marketplace,UnDisclosed,Delhi,"SAIF Partners, Accel Partners",Private Equity,10000000
29-06-2015,StayGlad,Beauty services Mobile Marketplace,UnDisclosed,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,0
